Position,Target,mae,rmse,r2
QB,Passing Yards,146.6683743169399,210.23917369223275,0.9643806745572724
RB,Rushing Yards,94.08880865398969,153.35978224797074,0.8519260302785312
WR,Receiving Yards,24.488264830524567,59.85168863499323,0.9561395784096002
TE,Receiving Yards,12.88065658008657,19.627552534665686,0.9942454689617193
