Model,MAE,RMSE,R2,BestEpoch,Checkpoint
baseline_mse_loaded,21.47319254758582,31.485689196211023,0.10530526712535893,,lstm_best_model.keras
lstm_248_huber_only,20.574326512742992,29.512880126711647,0.21391110671883395,100.0,lstm_248_huber_only.keras
lstm_248_mse_weights50,20.98906965145273,30.28085940182723,0.17246786795644498,71.0,lstm_248_mse_weights50.keras
lstm_248_huber_weights50,20.741793103097386,29.770169447019523,0.2001453285054675,100.0,lstm_248_huber_weights50.keras
