Model,MAE,RMSE,R2
LSTM (tuned),20.598727738688506,29.846276859314028,0.1960504453612686
GRU  (tuned),20.755249743500475,29.776568602617985,0.19980143092620994
LSTM (baseline MSE),21.4732,31.4857,0.1053
LSTM (huber only),20.5743,29.5129,0.2139
