model,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,cv_rmse
lasso,126.16133195888932,159.33275659709815,0.9852808827423879,150.5287707752896,192.85001348971264,0.9700292400111377,222.73089895201142
ridge,125.54285169613497,158.7731569852617,0.9853840925034363,157.0287129063214,200.39109242652017,0.9676394991786256,227.30844690439744
linear,125.19837633233827,157.6717995715545,0.9855861607547918,157.2542896197927,202.41000674174464,0.9669841587768693,241.8798511135846
gradient_boosting,28.457512378372844,36.685629166474236,0.9992196964751884,169.5424811616961,219.78469941640398,0.9610727863224094,239.19964322764918
random_forest,73.1456886227545,94.24600562701164,0.9948501150019364,179.4860655737705,223.64880305192202,0.9596919707496683,254.90182711909068
elasticnet,181.57024106478733,237.43789090487834,0.9673132548408265,180.41422226916035,224.81320004107477,0.9592711616380907,284.9082538159678
knn,288.5592814371257,355.9576369196721,0.9265370683996272,362.4098360655738,443.13774715185315,0.8417528491349064,474.28195175423906
