Model,Q1_fringe,Q2_role,Q3_starter,Q4_volume,Overall
RandomForest,0.1149,0.1287,0.0716,0.1177,0.3162
MLP Hybrid,0.1216,0.1175,0.0657,0.1231,0.3161
XGBoost,0.1212,0.1226,0.0715,0.1171,0.3157
MLP Quantile q50,0.1198,0.1121,0.0647,0.1216,0.3146
GRU Improved,0.0985,0.106,0.067,0.1215,0.3138
LSTM Improved,0.1042,0.109,0.0676,0.1132,0.3114
LightGBM,0.1184,0.1189,0.0544,0.1008,0.3055
ElasticNet,0.11,0.1064,0.0587,0.0978,0.3031
