Model,Spearman vs smoothed,Spearman vs raw,Test R² (vs smoothed),Rank − R² gap
LSTM Improved,0.8384,0.5568,0.6962,0.1422
MLP Quantile q50,0.8381,0.5587,0.6932,0.1449
MLP Hybrid,0.837,0.5575,0.6896,0.1474
ElasticNet,0.8351,0.5505,0.6833,0.1518
RandomForest,0.8327,0.5549,0.6918,0.1409
XGBoost,0.8308,0.5558,0.6853,0.1455
GRU Improved,0.8289,0.5478,0.6832,0.1457
LightGBM,0.8247,0.5504,0.675,0.1497
