Model,Q1_fringe,Q2_role,Q3_starter,Q4_volume,Overall
LSTM Improved,6.397,8.941,12.56,16.13,11.115
MLP Quantile q50,6.521,9.096,13.076,16.284,11.25
GRU Improved,6.516,9.123,12.796,16.356,11.308
MLP Hybrid,6.72,9.125,13.097,16.276,11.308
RandomForest,6.835,9.099,12.963,16.417,11.331
XGBoost,6.73,9.194,13.153,16.583,11.42
ElasticNet,7.039,9.278,13.096,16.653,11.519
LightGBM,6.794,9.286,13.386,16.888,11.592
