Model,Best Epoch,Train Loss,Val Loss,Loss Gap,Train MAE (sqrt),Val MAE (sqrt),MAE Gap (sqrt),Test MAE,Test RMSE,Test R2,Features
A) Original MLP (184 feat),19.0,1.4964951276779177,0.87287837266922,-0.6236167550086975,1.9646427631378172,1.982369065284729,0.0177263021469116,18.102898243262437,25.62467575018837,0.3079146264967435,184.0
B) Same arch (40 feat),27.0,1.5181092023849487,0.8778819441795349,-0.6402272582054138,1.9888542890548704,1.9925400018692017,0.003685712814331,18.194984890026596,25.23285150396664,0.3289180196121999,40.0
C) Improved MLP (40 feat),22.0,0.9666962623596193,0.8568122386932373,-0.1098840236663818,1.7875466346740725,1.9496139287948608,0.1620672941207885,17.910307924215555,25.491871548459187,0.3150697352780983,40.0
D) Fixed Hybrid (40 feat),28.0,1.4469515085220337,0.8550593852996826,-0.5918921232223511,1.8824902772903442,1.9459714889526367,0.06348121166229248,17.828912977980767,25.668966495763343,0.3055201011238109,40.0
E) Optuna Hybrid (40 feat),12.0,1.4005236625671387,0.8588199615478516,-0.5417037010192871,1.89620041847229,1.9532521963119507,0.057051777839660645,17.883324691875842,25.35249421781634,0.3225390006697201,40.0
