Stage,Model,MAE,RMSE,R2
Korak 1,LSTM + sqrt + cont_weights,20.871074676513672,28.799325044988034,0.2514633536338806
Korak 2,BiLSTM + sqrt + cont_weights,21.493635177612305,29.01736456484397,0.24008607864379883
Korak 2,BiGRU + sqrt + cont_weights,20.8335018157959,28.65049228211991,0.25918006896972656
Korak 3,BiLSTM + Attention + sqrt + cont_weights,22.35932159423828,29.82559677767624,0.19716417789459229
