Model,Q1_fringe,Q2_role,Q3_starter,Q4_volume,Overall,n_samples
MLP Quantile q50,10.742,13.418,20.244,27.099,17.775,6199
RandomForest,11.027,13.631,20.4,26.928,17.898,6199
MLP Hybrid,10.984,13.584,20.475,27.032,17.918,6199
XGBoost,11.163,13.657,20.481,27.303,18.049,6199
ElasticNet,11.126,13.919,20.652,27.455,18.19,6199
LSTM Improved,10.851,13.608,20.588,27.368,18.192,6039
LightGBM,11.203,13.728,20.56,27.735,18.202,6199
GRU Improved,11.026,13.768,20.761,27.41,18.329,6039
