Model,Spearman vs smoothed,Spearman vs raw,Test R² (vs smoothed),Rank − R² gap
LSTM Improved,0.8433,0.5508,0.7133,0.13
GRU Improved,0.837,0.5449,0.6987,0.1383
MLP Quantile q50,0.8347,0.5546,0.6922,0.1425
MLP Hybrid,0.8345,0.5545,0.6941,0.1404
ElasticNet,0.8312,0.5453,0.6811,0.1501
RandomForest,0.8307,0.5515,0.6927,0.138
XGBoost,0.8284,0.5521,0.6858,0.1426
LightGBM,0.8228,0.5491,0.672,0.1508
