Model,vs smoothed MAE,vs smoothed R2,vs raw MAE,vs raw R2
LSTM Improved,7.727,0.7607,19.414,0.2883
GRU Improved,7.853,0.7541,19.41,0.2858
MLP Quantile q50,7.864,0.7536,19.325,0.2922
MLP Hybrid,7.868,0.7533,19.338,0.2926
RandomForest,7.974,0.7503,19.468,0.2933
XGBoost,8.013,0.7455,19.365,0.2971
ElasticNet,8.129,0.7404,19.622,0.2778
LightGBM,8.159,0.7366,19.398,0.2937
