Model,vs smoothed MAE,vs smoothed R2,vs raw MAE,vs raw R2
LSTM Improved,12.136,0.5791,18.35,0.304
GRU Improved,12.393,0.5643,18.383,0.3089
MLP Quantile q50,12.578,0.5376,18.108,0.3089
MLP Hybrid,12.645,0.5476,18.334,0.3137
RandomForest,12.728,0.5398,18.388,0.3095
ElasticNet,12.819,0.534,18.518,0.2964
XGBoost,12.822,0.5319,18.307,0.308
LightGBM,12.953,0.519,18.403,0.2984
