Model,Spearman vs smoothed,Spearman vs raw,Test R² (vs smoothed),Rank − R² gap
LSTM Improved,0.8743,0.546,0.7607,0.1136
MLP Quantile q50,0.87,0.5473,0.7536,0.1164
MLP Hybrid,0.8697,0.5471,0.7533,0.1164
GRU Improved,0.8676,0.5405,0.7541,0.1135
ElasticNet,0.8674,0.5387,0.7404,0.127
RandomForest,0.8649,0.5435,0.7503,0.1146
XGBoost,0.8631,0.5449,0.7455,0.1176
LightGBM,0.8584,0.5415,0.7366,0.1218
