Model,Val MAE,Test MAE,Test RMSE,Test R2
MLP Quantile q50,18.004,17.874,26.064,0.284
MLP Hybrid (Huber),18.238,18.007,25.445,0.3176
LSTM Improved,18.258,18.084,25.464,0.3217
RandomForest,18.338,18.101,25.578,0.3104
ElasticNet,18.441,18.172,25.682,0.3048
GRU Improved,18.401,18.247,25.506,0.3195
XGBoost,18.542,18.275,25.825,0.2971
LightGBM,18.69,18.491,26.243,0.2741
