Model,Q1_fringe,Q2_role,Q3_starter,Q4_volume,Overall
MLP Quantile q50,10.836,14.582,20.788,27.632,18.466
XGBoost,11.07,14.765,20.919,27.76,18.635
GRU Improved,10.689,14.554,20.884,27.713,18.635
MLP Hybrid,11.05,14.773,20.981,27.832,18.665
LSTM Improved,10.647,14.629,20.861,27.865,18.68
RandomForest,11.16,14.807,20.982,27.816,18.696
LightGBM,11.074,14.756,21.173,28.003,18.755
ElasticNet,11.377,14.986,21.059,28.064,18.877
