Model,MAE,RMSE,R2
Ensemble (Flat),18.047888820592245,25.054609067930926,0.3383654505935313
LightGBM,18.14961150762756,25.12582162819089,0.3345989859218832
RandomForest,18.00697449014871,25.140652031875913,0.3338132541661172
XGBoost,18.15051631247503,25.14595311456252,0.33353228425795145
MLP (Optuna),18.157195576469174,25.481304461552636,0.31563746272025683
TCN (Optuna),19.29543685913086,27.591787957566513,0.2452966570854187
RNN (Optuna),19.734527587890625,27.93312697353326,0.2156916856765747
