Model,vs smoothed MAE,vs smoothed R2,vs raw MAE,vs raw R2
LSTM Improved,11.115,0.6018,18.68,0.3114
MLP Quantile q50,11.25,0.5872,18.466,0.3146
GRU Improved,11.308,0.5858,18.635,0.3138
MLP Hybrid,11.308,0.5922,18.665,0.3161
RandomForest,11.331,0.5899,18.696,0.3162
XGBoost,11.42,0.5805,18.635,0.3157
ElasticNet,11.519,0.5797,18.877,0.3031
LightGBM,11.592,0.5657,18.755,0.3055
