Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2016,28,SEA,QB,3,16,16,1008,95%,0,0%,0,0%,Russell Wilson,WilsRu00
2022,34,DEN,QB,3,15,15,961,97%,0,0%,0,0%,Russell Wilson,WilsRu00
2023,35,DEN,QB,3,15,15,938,100%,0,0%,0,0%,Russell Wilson,WilsRu00
2025,37,NYG,QB,3,6,3,220,53%,0,0%,0,0%,Russell Wilson,WilsRu00
