Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2013,27,HOU,RB,23,8,8,327,56%,0,0%,0,0%,Arian Foster,FostAr00
2015,29,HOU,RB,23,4,4,190,62%,0,0%,0,0%,Arian Foster,FostAr00
2016,30,MIA,RB,29,4,2,86,33%,0,0%,0,0%,Arian Foster,FostAr00
