Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2012,27,JAX,RB,32,6,5,240,66%,0,0%,2,1%,Maurice Jones-Drew,DrewMa00
2013,28,JAX,RB,32,15,15,648,66%,0,0%,0,0%,Maurice Jones-Drew,DrewMa00
2014,29,OAK,RB,21,12,1,205,26%,0,0%,0,0%,Maurice Jones-Drew,DrewMa00
