Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,rec_pass_rating,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,awards,Player,PlayerID
2018,23,PHI,NFL,TE,16,8,44,33,334,15,173,5.2,161,4.9,7.7,2,16.5,1,2.3,2,107.6,0,0,0,0,,0,,0,,Dallas Goedert,GoedDa00
2019,24,PHI,NFL,TE,15,9,87,58,607,33,276,4.8,331,5.7,5.8,5,11.6,5,5.7,3,91.5,0,0,0,0,,0,,0,,Dallas Goedert,GoedDa00
2020,25,PHI,NFL,TE,11,9,65,46,524,28,318,6.9,206,4.5,8.5,6,7.7,1,1.5,1,103.6,0,0,0,0,,0,,0,,Dallas Goedert,GoedDa00
2021,26,PHI,NFL,TE,15,14,76,56,830,42,444,7.9,386,6.9,8.5,9,6.2,5,6.6,1,121.1,0,0,0,0,,0,,0,,Dallas Goedert,GoedDa00
2022,27,PHI,NFL,TE,12,12,69,55,702,40,282,5.1,420,7.6,6.1,2,27.5,1,1.4,0,123.6,0,0,0,0,,0,,0,,Dallas Goedert,GoedDa00
2023,28,PHI,NFL,TE,14,14,83,59,592,33,273,4.6,319,5.4,5.4,2,29.5,2,2.4,3,88.0,1,1,0,0,0.0,1,1.0,0,,Dallas Goedert,GoedDa00
2024,29,PHI,NFL,TE,10,10,52,42,496,20,239,5.7,257,6.1,6.8,2,21.0,1,1.9,1,111.2,0,0,0,0,,0,,0,,Dallas Goedert,GoedDa00
2025,30,PHI,NFL,TE,13,13,73,54,551,32,332,6.1,219,4.1,7.3,3,18.0,3,4.1,0,134.8,0,0,0,0,,0,,0,,Dallas Goedert,GoedDa00
