Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2018,23,PHI,TE,16,8,44,33,334,10.1,4,15,59.1,32,2.1,20.9,75.0,7.6,0,0,0,0,,,,0.0,0.0,33,10.1,334,4,0,2,,Dallas Goedert,GoedDa00
2019,24,PHI,TE,15,9,87,58,607,10.5,5,33,57.5,28,3.9,40.5,66.7,7.0,0,0,0,0,,,,0.0,0.0,58,10.5,607,5,2,5,,Dallas Goedert,GoedDa00
2020,25,PHI,TE,11,9,65,46,524,11.4,3,28,60.0,41,4.2,47.6,70.8,8.1,0,0,0,0,,,,0.0,0.0,46,11.4,524,3,0,4,,Dallas Goedert,GoedDa00
2021,26,PHI,TE,15,14,76,56,830,14.8,4,47,68.4,45,3.7,55.3,73.7,10.9,0,0,0,0,,,,0.0,0.0,56,14.8,830,4,1,9,,Dallas Goedert,GoedDa00
2022,27,PHI,TE,12,12,69,55,702,12.8,3,41,69.6,31,4.6,58.5,79.7,10.2,0,0,0,0,,,,0.0,0.0,55,12.8,702,3,1,7,,Dallas Goedert,GoedDa00
2023,28,PHI,TE,14,14,83,59,592,10.0,3,33,60.2,49,4.2,42.3,71.1,7.1,1,1,0,0,0.0,1,1.0,0.1,0.1,60,9.9,593,3,0,6,,Dallas Goedert,GoedDa00
2024,29,PHI,TE,10,10,52,42,496,11.8,2,29,55.8,61,4.2,49.6,80.8,9.5,0,0,0,0,,,,0.0,0.0,42,11.8,496,2,2,6,,Dallas Goedert,GoedDa00
2025,30,PHI,TE,15,15,82,60,591,9.9,11,34,59.8,36,4.0,39.4,73.2,7.2,0,0,0,0,,,,0.0,0.0,60,9.9,591,11,0,5,,Dallas Goedert,GoedDa00
