Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2012,32,SDG,TE,85,15,15,860,91%,0,0%,0,0%,Antonio Gates,GateAn00
2013,33,SDG,TE,85,16,15,968,87%,0,0%,0,0%,Antonio Gates,GateAn00
2014,34,SDG,TE,85,16,14,769,72%,0,0%,0,0%,Antonio Gates,GateAn00
2015,35,SDG,TE,85,11,4,497,62%,0,0%,0,0%,Antonio Gates,GateAn00
2016,36,SDG,TE,85,14,9,585,63%,0,0%,1,0%,Antonio Gates,GateAn00
2017,37,LAC,TE,85,16,4,500,47%,0,0%,0,0%,Antonio Gates,GateAn00
2018,38,LAC,TE,85,16,1,364,37%,0,0%,0,0%,Antonio Gates,GateAn00
