Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
2009,21,PHI,RB,16,4,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,,LeSean McCoy,McCoLe01
2010,22,PHI,RB,15,13,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,,LeSean McCoy,McCoLe01
2011,23,PHI,RB,15,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-1",LeSean McCoy,McCoLe01
2012,24,PHI,RB,12,12,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,0,0,,LeSean McCoy,McCoLe01
2013,25,PHI,RB,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP OPoY-2,AP CPoY-11",LeSean McCoy,McCoLe01
2014,26,PHI,RB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,PB,LeSean McCoy,McCoLe01
2015,27,BUF,RB,12,12,0,0,0,0,0,0,2,2,6,0,0.0,0,0,0,0,0,0,PB,LeSean McCoy,McCoLe01
2016,28,BUF,RB,15,15,0,0,0,0,0,0,3,1,-5,0,0.0,0,0,0,0,0,0,PB,LeSean McCoy,McCoLe01
2017,29,BUF,RB,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,PB,LeSean McCoy,McCoLe01
2019,31,KAN,RB,13,9,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,LeSean McCoy,McCoLe01
