Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2022,22,LAR,RB,23,10,0,141,24%,0,0%,53,21%,Kyren Williams,WillKy02
2024,24,LAR,RB,23,16,16,888,87%,0,0%,7,2%,Kyren Williams,WillKy02
2025,25,LAR,RB,23,17,17,772,68%,0,0%,9,2%,Kyren Williams,WillKy02
