Season_stats,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%_stats,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR_stats,Sk,Yds_Lost,Sk%,NY/A,ANY/A_stats,4QC,GWD,AV,Awards,Player,PlayerID,QB_normalized,QB,Season_rankings,Starts,Points,Change (Week),Change (Year),Total,/ DB,Comp,Atts,Comp%,CPOE,Yards,YPA,TDs,INTs,Sacks,Carries,Yards.1,YPC,TDs.1,TD%_rankings,INT%,TD%-INT%,Success,Passer Rtg,ANY/A_rankings,QB Elo,QBR_rankings,Rushing,Sacks.1,Inc,INTs.1,Air Yards,YAC,Penalties,aDOT,vs Sticks,W,L,T,CB,CB Opps,CB%,WPA / DB,Total WPA
2025,23,NWE,QB,17,17,14-3-0,354,492,72.0,4394,31,6.3,8,1.6,203,54.7,72.0,8.9,9.46,12.4,258.5,113.5,77.1,47,201,8.72,7.78,8.26,1,2,18,"PB,AP-2,AP MVP-2,AP OPoY-5",Drake Maye,MayeDr00,drake maye,Drake Maye,2025,17,2.20326,0.102089,2.64887,201.011,0.3074,354,492,0.7195,10.7813,4394,8.9309,31,8,47,79,477,6.038,4,0.063,0.0163,0.0467,0.5489,113.482,8.2616,229.233,77.2,0.0143,-0.0051,0.0588,0.0271,0.1703,-0.0221,-0.0043,9.1321,0.2967,14,3,0,1,4,0.25,0.0072,4.6858
2025,35,LVR,QB,15,15,2-13-0,302,448,67.4,3025,19,4.2,17,3.8,148,45.3,61.0,6.8,5.89,10.0,201.7,84.7,34.1,55,405,10.93,5.21,4.44,0,0,7,,Geno Smith,SmitGe00,geno smith,Geno Smith,2025,15,-2.78539,-0.366948,-2.96561,-56.1728,-0.0992,302,446,0.6771,0.7071,3025,6.7825,19,17,55,34,115,3.3824,0,0.0426,0.0381,0.0045,0.4399,85.0897,4.4611,72.7681,34.2,-0.0286,-0.0761,0.0385,-0.077,-0.0919,0.0608,0.0065,6.1951,-2.7242,2,13,0,0,4,0.0,-0.0023,-1.2778
2025,22,MIN,QB,10,10,6-4-0,140,243,57.6,1632,11,4.5,12,4.9,80,41.1,62.0,6.7,5.4,11.7,163.2,72.6,35.6,27,149,10.0,5.49,4.31,1,1,4,,J.J. McCarthy,McCaJJ00,j.j. mccarthy,J.J. McCarthy,2025,10,-3.04806,0.121495,-1.66835,-25.4907,-0.0822,140,243,0.5761,-5.7239,1632,6.716,11,12,27,25,191,7.64,4,0.0453,0.0494,-0.0041,0.4419,72.5909,4.3074,51.1334,,0.0277,-0.056,-0.0509,-0.093,0.0202,-0.0075,0.0089,8.8148,0.2263,6,4,0,1,4,0.25,0.0008,0.2632
2025,33,ARI,QB,14,12,1-11-0,315,485,64.9,3366,23,4.7,8,1.6,165,45.8,50.0,6.9,7.15,10.7,240.4,94.1,41.2,43,288,8.14,5.83,6.02,0,0,10,,Jacoby Brissett,BrisJa00,jacoby brissett,Jacoby Brissett,2025,12,-0.725004,-0.155347,1.18196,8.742,0.0148,315,484,0.6508,1.6353,3366,6.9545,23,8,43,35,169,4.8286,1,0.0475,0.0165,0.031,0.4635,94.2493,6.0304,176.229,41.1,-0.0165,-0.0431,-0.0027,0.0215,-0.0244,0.024,-0.0124,7.6384,-1.5847,2,12,0,0,6,0.0,-0.001,-0.5915
2025,27,PHI,QB,16,16,11-5-0,294,454,64.8,3224,25,5.5,6,1.3,150,43.2,79.0,7.1,7.61,11.0,201.5,98.5,55.2,32,181,6.58,6.26,6.73,1,1,13,PB,Jalen Hurts,HurtJa00,jalen hurts,Jalen Hurts,2025,16,1.0394,-0.493585,-0.618635,66.2482,0.1093,294,452,0.6504,3.1833,3224,7.1327,25,6,32,92,436,4.7391,8,0.0553,0.0133,0.042,0.4587,98.9122,6.7624,197.283,55.9,0.0139,0.0195,0.0327,0.0226,0.0325,-0.077,-0.0031,9.0088,0.1814,11,5,0,1,3,0.3333,0.0017,1.0336
2025,31,DET,QB,17,17,9-8-0,393,578,68.0,4564,34,5.9,8,1.4,223,48.7,64.0,7.9,8.45,11.6,268.5,105.5,57.3,38,259,6.17,6.99,7.51,1,3,15,PB,Jared Goff,GoffJa00,jared goff,Jared Goff,2025,17,1.30252,-0.0926111,-0.0183685,114.137,0.1764,393,576,0.6823,1.7766,4564,7.9236,34,8,38,8,53,6.625,0,0.059,0.0139,0.0451,0.49,105.845,7.5326,209.325,58.0,-0.0253,-0.0107,-0.0122,0.0331,0.0104,0.1296,-0.0169,6.4531,-2.3194,9,8,0,1,5,0.2,0.003,1.9305
2025,25,WAS,QB,7,7,2-5-0,114,188,60.6,1262,8,4.3,3,1.6,59,44.7,50.0,6.7,6.85,11.1,180.3,88.1,44.7,18,79,8.74,5.74,5.86,0,0,6,,Jayden Daniels,DaniJa02,jayden daniels,Jayden Daniels,2025,6,0.807206,-0.277349,-0.5866,12.3702,0.0447,114,186,0.6129,-2.7291,1262,6.7849,8,3,18,52,283,5.4423,2,0.043,0.0161,0.0269,0.4693,89.0457,5.9216,169.989,,0.0029,0.0052,-0.0342,0.0232,0.007,-0.0378,0.01,7.4731,-1.2473,2,5,0,0,0,,0.0024,0.6688
2025,29,CIN,QB,8,8,5-3-0,173,259,66.8,1809,17,6.6,5,1.9,100,51.8,43.0,7.0,7.43,10.5,226.1,100.7,63.0,17,113,6.16,6.14,6.56,0,0,6,PB,Joe Burrow,BurrJo01,joe burrow,Joe Burrow,2025,8,2.11466,0.343366,-0.504215,39.6646,0.1313,173,259,0.668,4.6543,1809,6.9846,17,5,17,13,42,3.2308,0,0.0656,0.0193,0.0463,0.5033,100.684,6.5616,190.031,63.2,-0.0189,0.0203,0.0251,-0.0669,0.1117,-0.008,-0.0004,7.2124,-1.1081,5,3,0,0,2,0.0,0.0019,0.576
2025,40,2TM,QB,13,10,2-8-0,251,416,60.3,2479,15,3.6,10,2.4,115,41.7,44.0,6.0,5.6,9.9,190.7,79.2,,18,118,4.15,5.44,5.09,2,2,3,PB,Joe Flacco,FlacJo00,joe flacco,Joe Flacco,2025,10,-0.872291,-0.397565,0.0528418,-35.0549,-0.0749,251,412,0.6092,-2.8235,2479,6.017,15,10,18,12,52,4.3333,1,0.0364,0.0243,0.0121,0.4295,79.9454,5.1419,138.003,40.6,-0.0145,0.012,-0.0406,-0.0262,-0.0559,-0.0141,-0.0039,7.3981,-1.5607,4,9,0,2,6,0.3333,-0.0021,-0.9818
2025,27,GNB,QB,15,15,9-5-1,291,439,66.3,3381,23,5.2,6,1.4,159,50.2,59.0,7.7,8.13,11.6,225.4,101.2,72.7,21,169,4.57,6.98,7.4,4,4,14,,Jordan Love,LoveJo03,jordan love,Jordan Love,2025,15,0.50976,-0.467632,0.450242,150.346,0.2897,291,438,0.6644,5.533,3381,7.7192,23,6,21,32,211,6.5938,0,0.0525,0.0137,0.0388,0.5164,101.408,7.4118,196.858,73.1,0.013,0.0346,0.0023,0.0283,0.091,0.0377,0.0144,8.8379,0.032,9,5,1,2,6,0.3333,0.0108,5.6158
