Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,tackles_loss,QBHits,safety_md,awards,Player,PlayerID
2022,22,SEA,NFL,RB,15,11,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,Kenneth Walker III,WalkKe00
2023,23,SEA,NFL,RB,15,15,0,0,0,0,0,0,1,1,-7,0,0.0,0,0,0,0,0,0,,Kenneth Walker III,WalkKe00
2024,24,SEA,NFL,RB,11,11,0,0,0,0,0,0,1,3,-3,0,0.0,0,0,0,0,0,0,,Kenneth Walker III,WalkKe00
