Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,AV,Awards,Player,PlayerID
2017,21,CLE,TE,16,5,60,32,386,12.1,4,17,38.3,34,2.0,24.1,53.3,6.4,1,1,0,0,0.0,1,1.0,0.1,0.1,33,11.7,387,4,0,2,,David Njoku,NjokDa00
2018,22,CLE,TE,16,14,88,56,639,11.4,4,27,45.5,66,3.5,39.9,63.6,7.3,0,0,0,0,,,,0.0,0.0,56,11.4,639,4,0,5,,David Njoku,NjokDa00
2019,23,CLE,TE,4,1,10,5,41,8.2,1,3,30.0,18,1.3,10.3,50.0,4.1,0,0,0,0,,,,0.0,0.0,5,8.2,41,1,0,0,,David Njoku,NjokDa00
2020,24,CLE,TE,13,5,29,19,213,11.2,2,13,58.6,28,1.5,16.4,65.5,7.3,0,0,0,0,,,,0.0,0.0,19,11.2,213,2,0,2,,David Njoku,NjokDa00
2021,25,CLE,TE,16,11,53,36,475,13.2,4,17,56.6,71,2.3,29.7,67.9,9.0,1,1,0,0,0.0,1,1.0,0.1,0.1,37,12.9,476,4,0,4,,David Njoku,NjokDa00
2022,26,CLE,TE,14,14,80,58,628,10.8,4,36,61.3,38,4.1,44.9,72.5,7.9,2,-8,0,0,0.0,-2,-4.0,-0.6,0.1,60,10.3,620,4,1,6,,David Njoku,NjokDa00
2023,27,CLE,TE,16,16,123,81,882,10.9,6,39,43.9,43,5.1,55.1,65.9,7.2,0,0,0,0,,,,0.0,0.0,81,10.9,882,6,2,7,PB,David Njoku,NjokDa00
2024,28,CLE,TE,11,11,97,64,505,7.9,5,23,39.2,29,5.8,45.9,66.0,5.2,0,0,0,0,,,,0.0,0.0,64,7.9,505,5,0,3,,David Njoku,NjokDa00
2025,29,CLE,TE,12,11,48,33,293,8.9,4,11,45.8,23,2.8,24.4,68.8,6.1,0,0,0,0,,,,0.0,0.0,33,8.9,293,4,0,2,,David Njoku,NjokDa00
