Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,rec_pass_rating,awards,Player,PlayerID
2022,23,BUF,NFL,RB,16,0,89,507,25,329,3.7,178,2.0,3,29.7,32,21,180,5,48,2.3,132,6.3,2.4,0,,3,9.4,1,77.6,,James Cook,CookJa01
2023,24,BUF,NFL,RB,17,13,237,1122,57,640,2.7,482,2.0,8,29.6,54,44,445,16,47,1.1,398,9.0,2.5,7,6.3,6,11.1,0,125.7,,James Cook,CookJa01
2024,25,BUF,NFL,RB,16,16,207,1009,63,530,2.6,479,2.3,14,14.8,38,32,258,16,-2,-0.1,260,8.1,0.9,0,,2,5.3,0,112.5,,James Cook,CookJa01
2025,26,BUF,NFL,RB,17,17,309,1621,68,935,3.0,686,2.2,21,14.7,40,33,291,11,19,0.6,272,8.2,1.3,3,11.0,3,7.5,0,113.6,,James Cook,CookJa01
