Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2024,23,DET,TE,87,16,16,910,85%,0,0%,2,1%,Sam LaPorta,LaPoSa01
2025,24,DET,TE,87,9,9,517,90%,0,0%,5,2%,Sam LaPorta,LaPoSa01
