Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2012,23,CAR,QB,1,16,16,1021,99%,0,0%,0,0%,Cam Newton,NewtCa00
2014,25,CAR,QB,1,14,14,927,97%,0,0%,0,0%,Cam Newton,NewtCa00
2016,27,CAR,QB,1,15,14,1023,97%,0,0%,0,0%,Cam Newton,NewtCa00
2017,28,CAR,QB,1,16,16,1051,99%,0,0%,0,0%,Cam Newton,NewtCa00
2018,29,CAR,QB,1,14,14,885,99%,0,0%,0,0%,Cam Newton,NewtCa00
2019,30,CAR,QB,1,2,2,141,100%,0,0%,0,0%,Cam Newton,NewtCa00
2020,31,NWE,QB,1,15,15,876,94%,0,0%,0,0%,Cam Newton,NewtCa00
2021,32,CAR,QB,1,8,5,252,48%,0,0%,0,0%,Cam Newton,NewtCa00
