Season,Age,Team,Pos,G,GS,Cmp,Att,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_on_target,pass_on_target_pct,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att,pass_rpo,pass_rpo_yds,pass_rpo_pass_att,pass_rpo_pass_yds,pass_rpo_rush_att,pass_rpo_rush_yds,pass_play_action,pass_play_action_pass_yds,Awards,Player,PlayerID
2022,23,SFO,QB,9,5,114,170,1119,6.6,668,5.9,3.9,706,6.2,7,5,0,13,7.9,20,12.1,127,77.0,2.3,54,5,15,31,16.6,6,4.2,9,102,9,102,0,0,37,288,AP ORoY-3,Brock Purdy,PurdBr00
2023,24,SFO,QB,16,16,308,444,3623,8.2,2246,7.3,5.1,2034,6.6,13,12,3,9,2.1,70,16.3,324,75.5,2.6,142,28,42,98,20.1,16,7.8,24,236,20,227,1,9,93,969,"PB,AP MVP-4,AP OPoY-6,AP CPoY-6",Brock Purdy,PurdBr00
2024,25,SFO,QB,15,15,300,455,3809,8.4,2220,7.4,4.9,1644,5.5,10,10,5,19,4.3,62,14.1,345,78.4,2.5,142,32,38,101,19.1,44,6.8,2,21,1,5,1,16,4,43,,Brock Purdy,PurdBr00
2025,26,SFO,QB,9,9,197,284,2126,7.5,1318,6.7,4.6,849,4.3,4,15,0,9,3.3,33,12.3,221,82.2,2.7,59,27,28,66,21.1,18,7.3,15,111,14,109,1,2,72,570,,Brock Purdy,PurdBr00
