Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2022,23,SFO,QB,13,9,5,380,64%,0,0%,0,0%,Brock Purdy,PurdBr00
2024,25,SFO,QB,13,15,15,944,99%,0,0%,0,0%,Brock Purdy,PurdBr00
2025,26,SFO,QB,13,9,9,576,98%,0,0%,0,0%,Brock Purdy,PurdBr00
