Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2022,23,SFO,QB,9,5,124,121,127,123,111,140,99,103,128,AP ORoY-3,Brock Purdy,PurdBr00
2023,24,SFO,QB,16,16,157,152,149,146,124,137,96,107,142,"PB,AP MVP-4,AP OPoY-6,AP CPoY-6",Brock Purdy,PurdBr00
2024,25,SFO,QB,15,15,129,128,118,119,104,101,93,104,108,,Brock Purdy,PurdBr00
2025,26,SFO,QB,6,6,111,119,102,109,111,121,75,125,106,,Brock Purdy,PurdBr00
