Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Awards,Player,PlayerID
2023,23,GNB,TE,17,8,40,31,355,19,123,4.0,232,7.5,3.9,4,7.8,0,0.0,0,120.3,0,0,0,0,,0,,0,,Tucker Kraft,KrafTu00
2024,24,GNB,TE,17,17,70,50,707,31,251,5.0,456,9.1,5.3,9,5.6,5,7.1,1,131.1,3,6,5,3,1.0,3,1.0,0,,Tucker Kraft,KrafTu00
2025,25,GNB,TE,8,8,44,32,489,22,145,4.5,344,10.8,4.7,6,5.3,3,6.8,0,148.6,1,3,0,3,3.0,0,0.0,0,,Tucker Kraft,KrafTu00
