Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,rec_success,rec_long,R/G,Y/G,catch_pct,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards,Player,PlayerID
2023,23,GNB,NFL,TE,17,8,40,31,355,11.5,2,19,67.5,43,1.8,20.9,77.5,8.9,0,0,0,0,,,,0.0,0.0,31,11.5,355,2,0,4,,Tucker Kraft,KrafTu00
2024,24,GNB,NFL,TE,17,17,70,50,707,14.1,7,31,58.6,67,2.9,41.6,71.4,10.1,3,6,0,5,100.0,2.0,2.0,0.4,0.2,53,13.5,713,7,1,7,,Tucker Kraft,KrafTu00
2025,25,GNB,NFL,TE,8,8,44,32,489,15.3,6,22,63.6,59,4.0,61.1,72.7,11.1,1,3,0,0,0.0,3.0,3.0,0.4,0.1,33,14.9,492,6,0,5,,Tucker Kraft,KrafTu00
